x,y,z
-47.5,-0.9,26.02376033057851
-47.5,-0.8,22.758126721763084
-47.5,-0.7,13.255578512396694
-47.5,-0.6,4.167906336088154
-47.5,-0.5,1.8009641873278237
-47.5,-0.4,1.9763774104683196
-47.5,-0.3,1.8386363636363636
-47.5,-0.2,1.6318870523415978
-47.5,-0.1,1.756129476584022
-47.5,0.0,1.2404040404040404
-47.4,-1.0,22.492314814814815
-47.4,-0.9,22.464166666666667
-47.4,-0.8,20.247708333333332
-47.4,-0.7,19.840138888888887
-47.4,-0.6,5.707430555555556
-47.4,-0.5,2.0011805555555555
-47.4,-0.4,2.3318055555555555
-47.4,-0.3,2.0325694444444444
-47.4,-0.2,1.6065277777777778
-47.4,-0.1,1.5430555555555556
-47.4,0.0,0.9901851851851852
-47.3,-1.0,27.09309056956116
-47.3,-0.9,31.634593837535014
-47.3,-0.8,28.412394957983192
-47.3,-0.7,19.549299719887955
-47.3,-0.6,5.6460084033613445
-47.3,-0.5,2.3589635854341737
-47.3,-0.4,2.760294117647059
-47.3,-0.3,2.2585434173669467
-47.3,-0.2,1.6376750700280112
-47.3,-0.1,1.4231792717086835
-47.3,0.0,0.9302521008403362
-47.2,-1.0,32.034166666666664
-47.2,-0.9,33.52673611111111
-47.2,-0.8,21.21388888888889
-47.2,-0.7,9.79076388888889
-47.2,-0.6,3.5194444444444444
-47.2,-0.5,2.7979861111111113
-47.2,-0.4,2.218263888888889
-47.2,-0.3,2.019375
-47.2,-0.2,1.8584027777777778
-47.2,-0.1,1.7643055555555556
-47.2,0.0,1.070462962962963
-47.1,-1.0,27.638703703703705
-47.1,-0.9,17.690416666666668
-47.1,-0.8,11.577083333333333
-47.1,-0.7,5.9915972222222225
-47.1,-0.6,2.872847222222222
-47.1,-0.5,2.5635416666666666
-47.1,-0.4,2.138263888888889
-47.1,-0.3,1.9293055555555556
-47.1,-0.2,1.9566666666666668
-47.1,-0.1,2.0275
-47.1,0.0,1.2353703703703705
-47.0,-1.0,10.786776859504132
-47.0,-0.9,16.019559228650138
-47.0,-0.8,9.392768595041323
-47.0,-0.7,4.108746556473829
-47.0,-0.6,2.3480027548209366
-47.0,-0.5,2.3022038567493115
-47.0,-0.4,2.2393250688705235
-47.0,-0.3,2.208953168044077
-47.0,-0.2,2.352685950413223
-47.0,-0.1,2.165495867768595
-47.0,0.0,1.3352617079889808
-46.9,-1.0,10.317962962962962
-46.9,-0.9,10.414583333333333
-46.9,-0.8,7.14625
-46.9,-0.7,2.590902777777778
-46.9,-0.6,2.487222222222222
-46.9,-0.5,1.983263888888889
-46.9,-0.4,2.071388888888889
-46.9,-0.3,2.4052083333333334
-46.9,-0.2,2.6353472222222223
-46.9,-0.1,2.912916666666667
-46.9,0.0,1.8146296296296296
-46.8,-1.0,11.40712962962963
-46.8,-0.9,10.021875
-46.8,-0.8,5.472847222222223
-46.8,-0.7,2.46625
-46.8,-0.6,2.075833333333333
-46.8,-0.5,2.0415972222222223
-46.8,-0.4,2.2915277777777776
-46.8,-0.3,2.4898611111111113
-46.8,-0.2,2.531041666666667
-46.8,-0.1,2.9672916666666667
-46.8,0.0,2.1705555555555556
-46.7,-1.0,12.92436974789916
-46.7,-0.9,10.536904761904761
-46.7,-0.8,4.803851540616247
-46.7,-0.7,2.01484593837535
-46.7,-0.6,2.190826330532213
-46.7,-0.5,2.3184873949579834
-46.7,-0.4,2.501610644257703
-46.7,-0.3,2.2261904761904763
-46.7,-0.2,2.214775910364146
-46.7,-0.1,2.642857142857143
-46.7,0.0,2.21531279178338
-46.6,-1.0,10.00675925925926
-46.6,-0.9,5.314375
-46.6,-0.8,4.6530555555555555
-46.6,-0.7,1.750625
-46.6,-0.6,1.7147916666666667
-46.6,-0.5,2.1615277777777777
-46.6,-0.4,2.4498611111111113
-46.6,-0.3,2.0793055555555555
-46.6,-0.2,2.164513888888889
-46.6,-0.1,2.0302777777777776
-46.6,0.0,2.3266666666666667
-46.5,-1.0,11.128148148148147
-46.5,-0.9,8.448796296296296
-46.5,-0.8,2.310185185185185
-46.5,-0.7,1.5866666666666667
-46.5,-0.6,1.4922222222222221
-46.5,-0.5,1.5197222222222222
-46.5,-0.4,1.5960185185185185
-46.5,-0.3,1.8127777777777778
-46.5,-0.2,1.7910185185185186
-46.5,-0.1,1.718888888888889
-46.5,0.0,1.5601234567901234
-49.5,-1.0,13.968009768009768
-49.5,-0.9,13.11437728937729
-49.5,-0.8,12.326831501831501
-49.5,-0.7,11.841941391941392
-49.5,-0.6,8.325824175824176
-49.5,-0.5,5.3493589743589745
-49.5,-0.4,4.207417582417582
-49.5,-0.3,4.224175824175824
-49.5,-0.2,4.656684981684982
-49.5,-0.1,8.932875457875458
-49.5,0.0,5.248962148962149
-49.4,-1.0,9.564444444444444
-49.4,-0.9,9.259722222222223
-49.4,-0.8,10.138819444444444
-49.4,-0.7,7.281180555555555
-49.4,-0.6,6.019791666666666
-49.4,-0.5,4.648055555555556
-49.4,-0.4,4.277291666666667
-49.4,-0.3,5.988888888888889
-49.4,-0.2,6.8209027777777775
-49.4,-0.1,6.692291666666667
-49.4,0.0,12.819444444444445
-49.3,-1.0,7.881232492997199
-49.3,-0.9,6.882282913165266
-49.3,-0.8,6.776330532212885
-49.3,-0.7,5.597829131652661
-49.3,-0.6,4.3544817927170865
-49.3,-0.5,3.9915266106442577
-49.3,-0.4,4.046148459383754
-49.3,-0.3,4.6949579831932775
-49.3,-0.2,4.9107843137254905
-49.3,-0.1,3.780392156862745
-49.3,0.0,4.712138188608777
-49.2,-1.0,7.412962962962963
-49.2,-0.9,7.362847222222222
-49.2,-0.8,6.1475
-49.2,-0.7,5.248958333333333
-49.2,-0.6,3.8085416666666667
-49.2,-0.5,3.6503472222222224
-49.2,-0.4,3.3668055555555556
-49.2,-0.3,3.546597222222222
-49.2,-0.2,8.39236111111111
-49.2,-0.1,4.2693055555555555
-49.2,0.0,3.4146296296296295
-49.1,-1.0,6.0317592592592595
-49.1,-0.9,6.7404166666666665
-49.1,-0.8,5.377638888888889
-49.1,-0.7,5.055416666666667
-49.1,-0.6,4.121388888888889
-49.1,-0.5,2.9003472222222224
-49.1,-0.4,3.1377083333333333
-49.1,-0.3,3.5064583333333332
-49.1,-0.2,6.863194444444445
-49.1,-0.1,4.061875
-49.1,0.0,2.7087037037037036
-49.0,-1.0,5.3661157024793384
-49.0,-0.9,5.002203856749311
-49.0,-0.8,5.0543388429752065
-49.0,-0.7,4.5044077134986225
-49.0,-0.6,4.9963498622589535
-49.0,-0.5,3.5508264462809915
-49.0,-0.4,3.1918732782369146
-49.0,-0.3,3.077961432506887
-49.0,-0.2,7.572107438016529
-49.0,-0.1,2.2826446280991735
-49.0,0.0,2.020018365472911
-48.9,-1.0,4.731944444444444
-48.9,-0.9,4.607013888888889
-48.9,-0.8,4.637638888888889
-48.9,-0.7,5.125555555555556
-48.9,-0.6,4.992222222222222
-48.9,-0.5,4.086736111111111
-48.9,-0.4,3.024236111111111
-48.9,-0.3,2.670138888888889
-48.9,-0.2,6.895416666666667
-48.9,-0.1,2.1508333333333334
-48.9,0.0,1.2658333333333334
-48.8,-1.0,4.658888888888889
-48.8,-0.9,4.481458333333333
-48.8,-0.8,4.0368055555555555
-48.8,-0.7,5.405
-48.8,-0.6,5.343263888888889
-48.8,-0.5,4.257986111111111
-48.8,-0.4,2.7475
-48.8,-0.3,2.3931944444444446
-48.8,-0.2,3.740625
-48.8,-0.1,1.6804166666666667
-48.8,0.0,0.7240740740740741
-48.7,-1.0,8.747432306255835
-48.7,-0.9,5.470028011204482
-48.7,-0.8,5.56827731092437
-48.7,-0.7,6.512324929971989
-48.7,-0.6,4.46078431372549
-48.7,-0.5,3.6410364145658263
-48.7,-0.4,3.3171568627450982
-48.7,-0.3,3.2685574229691876
-48.7,-0.2,2.289565826330532
-48.7,-0.1,1.2910364145658264
-48.7,0.0,1.0610644257703081
-48.6,-1.0,8.399166666666666
-48.6,-0.9,12.120138888888889
-48.6,-0.8,10.369652777777778
-48.6,-0.7,11.30486111111111
-48.6,-0.6,6.993680555555556
-48.6,-0.5,3.82875
-48.6,-0.4,3.2518055555555554
-48.6,-0.3,3.441597222222222
-48.6,-0.2,2.522638888888889
-48.6,-0.1,1.3827083333333334
-48.6,0.0,0.6556481481481482
-48.5,-1.0,2.8750229568411387
-48.5,-0.9,6.9955922865013775
-48.5,-0.8,7.03168044077135
-48.5,-0.7,7.739393939393939
-48.5,-0.6,7.493319559228651
-48.5,-0.5,4.987741046831956
-48.5,-0.4,3.9323002754820937
-48.5,-0.3,4.7606749311294765
-48.5,-0.2,2.165564738292011
-48.5,-0.1,1.2320936639118458
-48.5,0.0,0.2955922865013774
-48.4,-1.0,3.747592592592593
-48.4,-0.9,2.6099305555555556
-48.4,-0.8,1.5834722222222222
-48.4,-0.7,1.051111111111111
-48.4,-0.6,0.7352777777777778
-48.4,-0.5,0.8547916666666666
-48.4,-0.4,3.930138888888889
-48.4,-0.3,5.434027777777778
-48.4,-0.2,0.7828472222222222
-48.4,-0.1,0.42777777777777776
-48.4,0.0,0.29953703703703705
-48.3,-1.0,13.947525676937442
-48.3,-0.9,4.628991596638656
-48.3,-0.8,1.2234593837535015
-48.3,-0.7,0.8137955182072829
-48.3,-0.6,0.6802521008403362
-48.3,-0.5,0.46904761904761905
-48.3,-0.4,0.5794817927170869
-48.3,-0.3,0.6003501400560224
-48.3,-0.2,0.35637254901960785
-48.3,-0.1,0.1876750700280112
-48.3,0.0,0.21830065359477124
-48.2,-1.0,16.013703703703705
-48.2,-0.9,15.761875
-48.2,-0.8,5.759652777777778
-48.2,-0.7,0.7536111111111111
-48.2,-0.6,0.37680555555555556
-48.2,-0.5,0.3657638888888889
-48.2,-0.4,0.28923611111111114
-48.2,-0.3,0.44680555555555557
-48.2,-0.2,0.5373611111111111
-48.2,-0.1,0.39916666666666667
-48.2,0.0,0.3528703703703704
-48.1,-1.0,32.08037037037037
-48.1,-0.9,18.51909722222222
-48.1,-0.8,14.843541666666667
-48.1,-0.7,6.956458333333333
-48.1,-0.6,0.630625
-48.1,-0.5,0.21881944444444446
-48.1,-0.4,0.3400694444444444
-48.1,-0.3,0.4909722222222222
-48.1,-0.2,0.6626388888888889
-48.1,-0.1,0.9876388888888888
-48.1,0.0,0.6167592592592592
-48.0,-1.0,27.018641975308643
-48.0,-0.9,23.087592592592593
-48.0,-0.8,19.20638888888889
-48.0,-0.7,13.076018518518518
-48.0,-0.6,1.4183333333333332
-48.0,-0.5,0.5121296296296296
-48.0,-0.4,0.6762037037037038
-48.0,-0.3,0.9165740740740741
-48.0,-0.2,1.0552777777777778
-48.0,-0.1,0.7905555555555556
-48.0,0.0,0.3628395061728395
-51.0,-1.0,16.395360195360194
-51.0,-0.9,19.247527472527473
-51.0,-0.8,18.08901098901099
-51.0,-0.7,20.942673992673992
-51.0,-0.6,13.746611721611721
-51.0,-0.5,18.411630036630036
-51.0,-0.4,15.398809523809524
-51.0,-0.3,18.24258241758242
-51.0,-0.2,17.83543956043956
-51.0,-0.1,13.469413919413919
-51.0,0.0,5.254945054945055
-50.9,-1.0,17.509722222222223
-50.9,-0.9,12.382083333333334
-50.9,-0.8,17.00888888888889
-50.9,-0.7,16.601736111111112
-50.9,-0.6,17.234166666666667
-50.9,-0.5,15.841666666666667
-50.9,-0.4,15.031458333333333
-50.9,-0.3,15.222847222222223
-50.9,-0.2,16.1475
-50.9,-0.1,13.171597222222223
-50.9,0.0,13.613703703703704
-50.8,-1.0,17.64527777777778
-50.8,-0.9,14.326458333333333
-50.8,-0.8,12.997013888888889
-50.8,-0.7,16.407291666666666
-50.8,-0.6,10.101458333333333
-50.8,-0.5,7.873125
-50.8,-0.4,12.170694444444445
-50.8,-0.3,15.762708333333334
-50.8,-0.2,13.74826388888889
-50.8,-0.1,8.795277777777779
-50.8,0.0,16.21638888888889
-50.7,-1.0,23.414285714285715
-50.7,-0.9,19.027591036414567
-50.7,-0.8,21.054481792717088
-50.7,-0.7,16.640266106442578
-50.7,-0.6,13.030952380952382
-50.7,-0.5,13.438445378151261
-50.7,-0.4,10.248179271708683
-50.7,-0.3,6.54796918767507
-50.7,-0.2,7.969887955182073
-50.7,-0.1,15.061064425770308
-50.7,0.0,14.25686274509804
-50.6,-1.0,22.766944444444444
-50.6,-0.9,24.47486111111111
-50.6,-0.8,20.43576388888889
-50.6,-0.7,15.402777777777779
-50.6,-0.6,14.475416666666666
-50.6,-0.5,15.075138888888889
-50.6,-0.4,16.248541666666668
-50.6,-0.3,16.277916666666666
-50.6,-0.2,10.680486111111112
-50.6,-0.1,9.264375
-50.6,0.0,11.7225
-50.5,-1.0,18.909366391184573
-50.5,-0.9,21.60736914600551
-50.5,-0.8,18.097658402203855
-50.5,-0.7,13.822520661157025
-50.5,-0.6,13.115633608815427
-50.5,-0.5,13.622727272727273
-50.5,-0.4,16.437258953168044
-50.5,-0.3,14.700826446280992
-50.5,-0.2,16.69111570247934
-50.5,-0.1,8.177685950413224
-50.5,0.0,13.208631772268136
-50.4,-1.0,20.008333333333333
-50.4,-0.9,21.00611111111111
-50.4,-0.8,15.21326388888889
-50.4,-0.7,13.213055555555556
-50.4,-0.6,12.494861111111112
-50.4,-0.5,14.616666666666667
-50.4,-0.4,16.904027777777777
-50.4,-0.3,16.872430555555557
-50.4,-0.2,16.33590277777778
-50.4,-0.1,15.00986111111111
-50.4,0.0,9.617777777777778
-50.3,-1.0,17.108870214752567
-50.3,-0.9,19.1546918767507
-50.3,-0.8,20.137535014005604
-50.3,-0.7,12.830112044817927
-50.3,-0.6,12.724369747899159
-50.3,-0.5,14.7265406162465
-50.3,-0.4,15.767577030812324
-50.3,-0.3,16.279411764705884
-50.3,-0.2,16.294327731092437
-50.3,-0.1,8.527521008403362
-50.3,0.0,5.167040149393091
-50.2,-1.0,18.636388888888888
-50.2,-0.9,16.629722222222224
-50.2,-0.8,21.06361111111111
-50.2,-0.7,19.721180555555556
-50.2,-0.6,17.286875
-50.2,-0.5,18.467430555555556
-50.2,-0.4,18.937569444444446
-50.2,-0.3,14.943333333333333
-50.2,-0.2,12.903402777777778
-50.2,-0.1,4.155347222222222
-50.2,0.0,4.215740740740741
-50.1,-1.0,19.918240740740742
-50.1,-0.9,17.500208333333333
-50.1,-0.8,16.606458333333332
-50.1,-0.7,17.323611111111113
-50.1,-0.6,17.032569444444444
-50.1,-0.5,18.205694444444443
-50.1,-0.4,15.134583333333333
-50.1,-0.3,16.059444444444445
-50.1,-0.2,16.41347222222222
-50.1,-0.1,4.326458333333333
-50.1,0.0,3.3914814814814815
-50.0,-1.0,19.994765840220385
-50.0,-0.9,20.623553719008264
-50.0,-0.8,21.53560606060606
-50.0,-0.7,19.482438016528924
-50.0,-0.6,22.874724517906337
-50.0,-0.5,21.403994490358127
-50.0,-0.4,15.964256198347108
-50.0,-0.3,14.286707988980716
-50.0,-0.2,9.774311294765841
-50.0,-0.1,3.496900826446281
-50.0,0.0,8.289439853076217
-49.9,-1.0,18.860462962962963
-49.9,-0.9,19.157569444444444
-49.9,-0.8,21.602916666666665
-49.9,-0.7,19.708333333333332
-49.9,-0.6,21.08451388888889
-49.9,-0.5,17.516041666666666
-49.9,-0.4,14.839097222222222
-49.9,-0.3,12.621944444444445
-49.9,-0.2,7.988819444444444
-49.9,-0.1,3.1952083333333334
-49.9,0.0,7.0243518518518515
-49.8,-1.0,23.202314814814816
-49.8,-0.9,21.46638888888889
-49.8,-0.8,20.763958333333335
-49.8,-0.7,19.68986111111111
-49.8,-0.6,18.631805555555555
-49.8,-0.5,16.571041666666666
-49.8,-0.4,9.506458333333333
-49.8,-0.3,6.682361111111111
-49.8,-0.2,6.848194444444444
-49.8,-0.1,6.757430555555556
-49.8,0.0,6.246574074074074
-49.7,-1.0,23.429785247432307
-49.7,-0.9,21.37373949579832
-49.7,-0.8,20.831932773109244
-49.7,-0.7,20.714005602240896
-49.7,-0.6,16.850840336134453
-49.7,-0.5,11.354411764705882
-49.7,-0.4,5.57563025210084
-49.7,-0.3,4.3691176470588236
-49.7,-0.2,3.826890756302521
-49.7,-0.1,4.951120448179272
-49.7,0.0,6.681139122315593
-49.6,-1.0,21.890555555555554
-49.6,-0.9,18.732222222222223
-49.6,-0.8,18.70173611111111
-49.6,-0.7,16.631875
-49.6,-0.6,11.881180555555556
-49.6,-0.5,9.417638888888888
-49.6,-0.4,6.059375
-49.6,-0.3,5.927847222222222
-49.6,-0.2,4.307013888888889
-49.6,-0.1,7.787083333333333
-49.6,0.0,3.2269444444444444
-49.5,-1.0,16.766296296296296
-49.5,-0.9,14.127222222222223
-49.5,-0.8,12.907222222222222
-49.5,-0.7,11.50212962962963
-49.5,-0.6,8.976666666666667
-49.5,-0.5,6.166203703703704
-49.5,-0.4,4.463240740740741
-49.5,-0.3,4.6738888888888885
-49.5,-0.2,4.563518518518518
-49.5,-0.1,8.476018518518519
-49.5,0.0,4.8906172839506175
-52.5,-1.0,34.136874236874235
-52.5,-0.9,42.809432234432236
-52.5,-0.8,41.897619047619045
-52.5,-0.7,61.96602564102564
-52.5,-0.6,95.5282967032967
-52.5,-0.5,190.22142857142856
-52.5,-0.4,200.1293956043956
-52.5,-0.3,144.0624542124542
-52.5,-0.2,135.07783882783883
-52.5,-0.1,142.49752747252748
-52.5,0.0,144.32783882783883
-52.4,-1.0,38.49305555555556
-52.4,-0.9,76.41041666666666
-52.4,-0.8,100.19229166666666
-52.4,-0.7,134.039375
-52.4,-0.6,153.52534722222222
-52.4,-0.5,199.48590277777777
-52.4,-0.4,293.60784722222223
-52.4,-0.3,246.42131944444444
-52.4,-0.2,152.79895833333333
-52.4,-0.1,150.7620138888889
-52.4,0.0,176.34
-52.3,-1.0,80.61521942110177
-52.3,-0.9,128.09418767507003
-52.3,-0.8,84.10042016806723
-52.3,-0.7,110.63081232492998
-52.3,-0.6,122.5374649859944
-52.3,-0.5,128.5172969187675
-52.3,-0.4,219.3626050420168
-52.3,-0.3,283.8888655462185
-52.3,-0.2,194.29782913165266
-52.3,-0.1,193.40343137254902
-52.3,0.0,224.79906629318393
-52.2,-1.0,67.77638888888889
-52.2,-0.9,91.87458333333333
-52.2,-0.8,73.83118055555556
-52.2,-0.7,101.55763888888889
-52.2,-0.6,86.47666666666667
-52.2,-0.5,82.41041666666666
-52.2,-0.4,190.35888888888888
-52.2,-0.3,221.24006944444446
-52.2,-0.2,191.70979166666666
-52.2,-0.1,192.15895833333335
-52.2,0.0,194.27037037037036
-52.1,-1.0,44.72398148148148
-52.1,-0.9,40.66291666666667
-52.1,-0.8,53.39395833333333
-52.1,-0.7,61.24034722222222
-52.1,-0.6,40.361041666666665
-52.1,-0.5,45.556736111111114
-52.1,-0.4,89.58805555555556
-52.1,-0.3,151.55923611111112
-52.1,-0.2,142.08902777777777
-52.1,-0.1,140.77173611111112
-52.1,0.0,136.83981481481482
-52.0,-1.0,44.53544536271809
-52.0,-0.9,19.973002754820936
-52.0,-0.8,28.68099173553719
-52.0,-0.7,28.909159779614324
-52.0,-0.6,54.60530303030303
-52.0,-0.5,65.94573002754821
-52.0,-0.4,79.6081955922865
-52.0,-0.3,129.54807162534436
-52.0,-0.2,129.21707988980717
-52.0,-0.1,108.12252066115703
-52.0,0.0,109.1078971533517
-51.9,-1.0,24.520648148148148
-51.9,-0.9,14.019722222222223
-51.9,-0.8,16.281041666666667
-51.9,-0.7,32.02097222222222
-51.9,-0.6,44.352291666666666
-51.9,-0.5,49.38951388888889
-51.9,-0.4,71.44694444444444
-51.9,-0.3,98.58381944444444
-51.9,-0.2,111.418125
-51.9,-0.1,79.34847222222223
-51.9,0.0,84.00203703703704
-51.8,-1.0,6.4521296296296295
-51.8,-0.9,7.404791666666667
-51.8,-0.8,10.933819444444444
-51.8,-0.7,17.13104166666667
-51.8,-0.6,22.889305555555556
-51.8,-0.5,16.20923611111111
-51.8,-0.4,31.86638888888889
-51.8,-0.3,40.270694444444445
-51.8,-0.2,63.15708333333333
-51.8,-0.1,60.63381944444444
-51.8,0.0,79.33555555555556
-51.7,-1.0,11.813538748832867
-51.7,-0.9,10.30798319327731
-51.7,-0.8,10.669887955182073
